
***** TEST S_spectral2: *****

Every tenth wavelength will be printed.

Note that your final decimal place values may vary
based on your computer's floating-point storage and your
compiler's mathematical algorithms.  If you agree with
NREL's values for at least 5 decimal places, assume it works.

micron  (NREL) ETRglo (NREL) global (NREL) direct (NREL) diffuse (NREL)
 0.300  0.300  518.7  518.7    2.7    2.7    0.9    0.9    1.8    1.8
 0.350  0.350  944.3  944.3  482.6  483.9  269.4  271.0  236.8  236.6
 0.450  0.450 1940.8 1940.8 1444.7 1446.4 1063.8 1066.0  473.9  473.6
 0.550  0.550 1831.4 1831.4 1457.0 1457.9 1219.3 1220.4  344.3  344.1
 0.724  0.724 1329.0 1329.0  998.4  998.5  923.1  923.4  156.0  155.9
 0.831  0.831 1004.8 1004.8  839.3  839.4  797.2  797.3  111.8  111.8
 0.965  0.965  743.7  743.7  550.6  550.7  538.3  538.3   59.4   59.6
 1.170  1.170  516.3  516.3  375.9  375.9  376.7  376.7   32.1   32.1
 1.477  1.477  297.5  297.5  101.6  101.6  104.8  104.8    6.0    6.0
 1.678  1.678  213.4  213.4  191.2  191.2  197.1  197.1   11.4   11.4
 2.100  2.100   89.4   89.4   74.8   74.8   78.2   78.2    3.5    3.5
 2.900  2.900   27.2   27.2    1.1    1.1    1.2    1.2    0.0    0.0
 3.900  3.900    9.2    9.2    7.4    7.4    7.9    7.9    0.2    0.2
